title,price,description,acreage,bathroom,bedroom,address,time
Căn hộ Căn hộ 3Dhouse 20m² 1 PN,4000000,"Dự án: Căn hộ 3Dhouse
Thông tin chi tiết: Cho thuê phòng ở kiểu căn hộ Full nội thất mới 100%.
- Địa chỉ: 162 Phan Triêm (gần cầu Khuê Đông, cây xăng Long Bình, gần sân vận động).
- Căn 1 diện tích 20m2: giá thuê 4 triệu/tháng
- Căn 2 diện tích 24m2: giá thuê 4,5 triệu/tháng
- Căn 3 diện tích 30m2: giá thuê 5,5 triệu/tháng
Đây đủ tiện nghi, tiêu chuẩn của 1 căn hộ mini cao cấp.
Quy mô 5 tầng, có thang máy, nhà xe, nước nóng lạnh, wifi, bếp nấu, ti vi, tủ lanh, giường nệm tiêu chuẩn khách sạn 5 sao. ***Thanh toán: Cọc 1 tháng, thanh toán từng tháng. Thanh toán 3 tháng giảm 5%; thanh toán 6 tháng giảm 10%.",20,None,1,"162, Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2020-02-18
Cho thuê Căn hộ mini 1pn và 2 pn,3500000,"cho thuê căn hộ mini 1pn và 2 pn đầy đủ tiện nghi tại 97 lý đạo thành, sơn trà, đà nẵng
căn 1pn 20m² giá 3,5tr tháng
căn 2pn, 1pk giá 5tr/ tháng",20,1,1,"97, Đường Lý Đạo Thành, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",2020-02-18
Căn Hộ Hòa Xuân Cho Thuê 28m2 - Full Nội Thất,4000000,"Cho Thuê Căn Hộ Full Nội Thất - 28m2 - Đường Nguyễn Phước Lan, Hòa Xuân, Cẩm Lệ. |

Thích Hợp Cho Sinh Viên Thuê, Nhân Viên Văn Phòng, Gia Đình Trẻ.

+ Nội thất đầy đủ như hình: Giường, Bệp, Tủ Lạnh, Máy Giặt, Tủ Quần Áo,...
+ Cho Nấu Ăn Trong Phòng
+ Thiết bị vệ sinh cao cấp hiệu TOTO (Nhật Bản)
+ Camera An Ninh 24/7 (Gắn mỗi tầng)
+ Khu Vực Sinh Hoạt Chung, Rộng 200m (Thuận tiện cafe đọc sách, mở tiệc cùng bạn bè)
+ Khu vực để xe riêng biệt, Giờ giấc tự do

Giá Cho Thuê: 4,5 triệu/Tháng (Ưu Tiên HĐ Lâu Dài Trên 12 Tháng, Còn 4 Triệu/Tháng)

Xem Nhà Liên Hệ Trước, Xin Cảm Ơn",28,1,1,"Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",2020-02-18
Căn hộ dạng studio,3500000,"gần chợ mai
gần biển mân thái
gần siêu thị Coopmart
cách sông hàn 2km",25,None,1,"6, Đường Bùi Quốc Hưng||19743, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng",2020-02-18
"**Cho thuê căn hộ có view đẹp tại Hiyori, DT 69m2*",28000000,"🔰Cho thuê căn góc số 6 căn có view đẹp tại Hiyori view sông Hàn -tầng thì cao gần tại đây rồi.
🔜Dt 69m2 căn góc Thiết kế 2 p ngủ 2 wc 1 bồn tắm lớn
🔜Full nội thất sang trọng đẳng cấp tại đây luôn
🔜Tiện ích : gym- hồ bơi- siêu thị- cửa hàng tiện ích- khu cv trẻ em- nhà sinh hoạt cộng đồng .
❌Giá thuê : hợp đồng dài hạng .
❎Vui Lòng Liên Hệ Mr Nam ❎",69,None,2,"Đường Võ Văn Kiệt, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",2020-02-18
Cho thuê căn hộ 206 Lý Tự Trọng,3500000,"Cho thuê căn hộ địa chỉ 206 Lý tự trọng
Phòng đủ các dạng phòng từ 20m2 đến 35m2
Đầy đủ nội thất
Giá 3,5tr đến 5tr/tháng
Liên hệ để xem phòng",25,1,1,"206 Lý Tự trọng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",2020-02-18
//-Căn hộ cho thuê -Đg Phan Châu Trinh- DT 30m²***,6000000,"✅ Cho Thuê Cân Hộ Đường Phan Châu Trinh trung tâm Thành phố cách cầu rồng 300 m .
✅Được Thiết kế Sang trọng theo phong cách hiện đại thoáng mát . Đạt chuẩn cân hộ để vận hành . Nội thất mới 100% .
❇️Thông tin Cân Hộ Gồm :

✅Loại 70 m2 Studio :full nội thất luxury18 triệu/1 cân , 1 cân 12 triệu nội thất víp .
✅Loại 40 m2 studio : 3 cân 10 triệu/tháng full nội thất vip .

✅Loại 40 m2 studio : 3 cân giá 8 triệu/cân full nội thât víp .

✅Loại 30 m2 studio : 3 cân giá 7 triệu/cân full nội thất vip .

✅ Loại 25 m2 studio : 5 cân 6 triệu/cân full nội thất vip .
Vui Lòng Liên Hệ Mr Nam",25,None,2,"Đường Phan Châu Trinh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",2020-02-18
Cho thuê căn hộ N văn linh 40m2/6tr/th.,6000000,"🏠Vị trí: Gần cầu rồng, chợ, bệnh viện hoàn mỹ, trường đại học Duy Tân, toà nhà văn phòng Thành Lợi.
🏠Đ/C: 16 Man Thiện, Đà Nẵng, Hải Châu

🏬Căn hộ diện tích 40m2 với 4 phòng trong căn hộ: 1 phòng ngủ, 1 phòng khách, 1 phòng bếp, 1 toilet, có 1 sân phơi quần áo, khu vực để xe rộng rãi.

❤️☘️🌷 Trang thiết bị full nội thất đầy đủ:
-Máy giặt riêng
-Tivi.
-2 điều hòa ( phòng ngủ & phòng khách )
-Bình nóng lạnh
-bếp từ
-máy hút mùi tạo không khí trong lành
-bình lọc nước
- lò vi sóng.

✔️✔️✔️Toà nhà trang bị:
- thang máy
- hệ thống camera từng tầng
- lối đi có đèn thắp sáng tự động
- cửa chính căn hộ được lắp đặt mã khoá số thông minh, hệ thống pccc.
❤️☘️🌷 Căn hộ toạ lạc tại vị trí trung tâm thành phố, mặt tiền 10m đỗ xe ô tô thoải mái, khu dân trí cao, yên tĩnh, cách sân bay 2km, cầu rồng 10 phút.
💰 Giá 1 căn chỉ từ 7.000.000₫➡️8.500.000₫ thanh toán linh hoạt, hợp đồng lâu dài.
☎️Liên hệ :
------------MR Linh-----------------------------
Chuyên gia tư vấn bất động sản cho thuê
-Nhà nguyên căn
-Mặt bằng kinh doanh, văn phòng
-Căn hộ, phòng trọ
-Tư vấn, quản lý bất động sản cho thuê
Nhận tìm kiếm theo order của khách.
Mọi chi tiết xin liên hệ qua di động.",40,1,1,"16, Đường Man Thiện, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",2020-02-18
"Cho thuê căn hộ mt Xuân diệu,thuân phước 🤗🤗",4000000,"Cho thuê căn hộ Xuân Diệu,Thuận Phước Hải Châu
_ Căn view mặt tiền,full nội thất
⛳Giá 4tr
Lh",30,1,2,"Đường Xuân Diệu, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",2020-02-18
CĂN HỘ MINI CAO CẤP - HẢI CHÂU - ĐẦY NẮNG VÀ GIÓ,5000000,"Căn hộ mới xây, gần trung tâm thành phố : cách chợ 50m, sân bay Quốc Tế 5 phút, ngay khu ẩm thực Lê Thanh Nghị
Với thiết kế hiện đại, sang trọng và trang bị đầy đủ cơ sở vật chất, đầy nắng và gió sẽ mang lại cảm giác thoải mái và ấm cúng cho gia đình của bạn.
 Diện tích tòa nhà: 1200m2
 Diện tích phòng: từ 20-25-30m2
 View: Tất cả các phòng đều có 2 cửa sổ, đầy nắng và gió.
 WC: Đầy đủ tiện nghi (lavabo, máy nóng lạnh, kính soi, vòi sen, kệ kính,...)
 Nội thất : Máy lạnh, nệm, tủ áo, bàn ăn, kệ chén
 Cơ sở vật chất khác:
 Có khu vực bếp cho từng phòng.
 Sân phơi trong phòng
 Có gác lững cho từng phòng ( tùy loại phòng)
 Có thang máy hỗ trợ việc đi lại.
 Có chỗ giữ xe an toàn.
 Có hệ thống camera giám sát 24/24
 Có khu vực giặt đồ, phơi đồ riêng và chung.
 Giá thuê: 3.500.000 – 5.000.000 đồng/phòng/tháng.
Các bạn trẻ, hộ gia đình mong muốn có một không gian sống thoải mái, ấm cúng nhưng không kém phần hiện đại thì còn chờ gì nữa hãy liên hệ ngày với chúng tôi để được trải nghiệm không gian sống hiện đại và đầy đủ tiện nghi.
Liên hệ: Chị Hồng",30,None,None,"Đường Tạ Hiện, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",2020-02-18
